C108_025
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 380.8762249946594
objective function value: 191.8136197786562
MIP gap: 4.105973140307936e-05
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|0            |0.0          |0            |190.0        |40.0         |50.0        
|0            |30.806       |13           |190.0        |22.0         |75.0        
|0            |120.806      |13           |160.0        |22.0         |75.0        
|0            |124.806      |17           |160.0        |18.0         |75.0        
|0            |214.806      |17           |140.0        |18.0         |75.0        
|0            |217.806      |18           |140.0        |15.0         |75.0        
|0            |307.806      |18           |120.0        |15.0         |75.0        
|0            |312.806      |19           |120.0        |15.0         |80.0        
|0            |402.806      |19           |110.0        |15.0         |80.0        
|0            |495.0        |15           |110.0        |20.0         |80.0        
|0            |585.0        |15           |70.0         |20.0         |80.0        
|0            |606.0        |16           |70.0         |20.0         |85.0        
|0            |696.0        |16           |30.0         |20.0         |85.0        
|0            |698.0        |14           |30.0         |22.0         |85.0        
|0            |788.0        |14           |20.0         |22.0         |85.0        
|0            |826.0        |12           |20.0         |25.0         |85.0        
|0            |916.0        |12           |0.0          |25.0         |85.0        
|0            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|4            |0.0          |0            |110.0        |40.0         |50.0        
|4            |10.0         |20           |110.0        |30.0         |50.0        
|4            |100.0        |20           |100.0        |30.0         |50.0        
|4            |105.0        |24           |100.0        |25.0         |50.0        
|4            |195.0        |24           |90.0         |25.0         |50.0        
|4            |305.0        |25           |90.0         |25.0         |52.0        
|4            |395.0        |25           |50.0         |25.0         |52.0        
|4            |664.0        |23           |50.0         |28.0         |55.0        
|4            |754.0        |23           |40.0         |28.0         |55.0        
|4            |757.0        |22           |40.0         |28.0         |52.0        
|4            |847.0        |22           |20.0         |28.0         |52.0        
|4            |1043.0       |21           |20.0         |30.0         |52.0        
|4            |1133.0       |21           |0.0          |30.0         |52.0        
|4            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|9            |0.0          |0            |160.0        |40.0         |50.0        
|9            |15.133       |5            |160.0        |42.0         |65.0        
|9            |105.133      |5            |150.0        |42.0         |65.0        
|9            |106.133      |3            |150.0        |42.0         |66.0        
|9            |196.133      |3            |140.0        |42.0         |66.0        
|9            |198.133      |7            |140.0        |40.0         |66.0        
|9            |288.133      |7            |120.0        |40.0         |66.0        
|9            |290.961      |8            |120.0        |38.0         |68.0        
|9            |380.961      |8            |100.0        |38.0         |68.0        
|9            |384.567      |10           |100.0        |35.0         |66.0        
|9            |474.567      |10           |90.0         |35.0         |66.0        
|9            |477.567      |11           |90.0         |35.0         |69.0        
|9            |567.567      |11           |80.0         |35.0         |69.0        
|9            |660.922      |9            |80.0         |38.0         |70.0        
|9            |750.922      |9            |70.0         |38.0         |70.0        
|9            |753.158      |6            |70.0         |40.0         |69.0        
|9            |843.158      |6            |50.0         |40.0         |69.0        
|9            |845.394      |4            |50.0         |42.0         |68.0        
|9            |935.394      |4            |40.0         |42.0         |68.0        
|9            |939.0        |2            |40.0         |45.0         |70.0        
|9            |1029.0       |2            |10.0         |45.0         |70.0        
|9            |1049.0       |1            |10.0         |45.0         |68.0        
|9            |1139.0       |1            |0.0          |45.0         |68.0        
|9            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
