C108_050
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasibile: True
solver runtime: 1242.5649981498718
objective function value: 363.24680041159104
MIP gap: 0.0
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|3            |0.0          |0            |140.0        |40.0         |50.0        
|3            |16.553       |43           |140.0        |33.0         |35.0        
|3            |106.553      |43           |130.0        |33.0         |35.0        
|3            |109.553      |42           |130.0        |33.0         |32.0        
|3            |199.553      |42           |110.0        |33.0         |32.0        
|3            |201.553      |41           |110.0        |35.0         |32.0        
|3            |291.553      |41           |100.0        |35.0         |32.0        
|3            |293.553      |40           |100.0        |35.0         |30.0        
|3            |383.553      |40           |90.0         |35.0         |30.0        
|3            |386.553      |44           |90.0         |32.0         |30.0        
|3            |476.553      |44           |80.0         |32.0         |30.0        
|3            |479.381      |46           |80.0         |30.0         |32.0        
|3            |569.381      |46           |50.0         |30.0         |32.0        
|3            |688.0        |45           |50.0         |30.0         |30.0        
|3            |778.0        |45           |40.0         |30.0         |30.0        
|3            |786.0        |48           |40.0         |28.0         |30.0        
|3            |876.0        |48           |30.0         |28.0         |30.0        
|3            |941.394      |50           |30.0         |26.0         |32.0        
|3            |1031.394     |50           |20.0         |26.0         |32.0        
|3            |1035.0       |49           |20.0         |28.0         |35.0        
|3            |1125.0       |49           |10.0         |28.0         |35.0        
|3            |1127.0       |47           |10.0         |30.0         |35.0        
|3            |1217.0       |47           |0.0          |30.0         |35.0        
|3            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|5            |0.0          |0            |160.0        |40.0         |50.0        
|5            |15.133       |5            |160.0        |42.0         |65.0        
|5            |105.133      |5            |150.0        |42.0         |65.0        
|5            |106.133      |3            |150.0        |42.0         |66.0        
|5            |196.133      |3            |140.0        |42.0         |66.0        
|5            |198.133      |7            |140.0        |40.0         |66.0        
|5            |288.133      |7            |120.0        |40.0         |66.0        
|5            |290.961      |8            |120.0        |38.0         |68.0        
|5            |380.961      |8            |100.0        |38.0         |68.0        
|5            |384.567      |10           |100.0        |35.0         |66.0        
|5            |474.567      |10           |90.0         |35.0         |66.0        
|5            |477.567      |11           |90.0         |35.0         |69.0        
|5            |567.567      |11           |80.0         |35.0         |69.0        
|5            |660.922      |9            |80.0         |38.0         |70.0        
|5            |750.922      |9            |70.0         |38.0         |70.0        
|5            |753.158      |6            |70.0         |40.0         |69.0        
|5            |843.158      |6            |50.0         |40.0         |69.0        
|5            |845.394      |4            |50.0         |42.0         |68.0        
|5            |935.394      |4            |40.0         |42.0         |68.0        
|5            |939.0        |2            |40.0         |45.0         |70.0        
|5            |1029.0       |2            |10.0         |45.0         |70.0        
|5            |1049.0       |1            |10.0         |45.0         |68.0        
|5            |1139.0       |1            |0.0          |45.0         |68.0        
|5            |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|16           |0.0          |0            |170.0        |40.0         |50.0        
|16           |10.0         |20           |170.0        |30.0         |50.0        
|16           |100.0        |20           |160.0        |30.0         |50.0        
|16           |105.0        |24           |160.0        |25.0         |50.0        
|16           |195.0        |24           |150.0        |25.0         |50.0        
|16           |197.0        |25           |150.0        |25.0         |52.0        
|16           |287.0        |25           |110.0        |25.0         |52.0        
|16           |289.0        |27           |110.0        |23.0         |52.0        
|16           |379.0        |27           |100.0        |23.0         |52.0        
|16           |382.606      |29           |100.0        |20.0         |50.0        
|16           |472.606      |29           |90.0         |20.0         |50.0        
|16           |477.606      |30           |90.0         |20.0         |55.0        
|16           |567.606      |30           |80.0         |20.0         |55.0        
|16           |660.0        |28           |80.0         |23.0         |55.0        
|16           |750.0        |28           |60.0         |23.0         |55.0        
|16           |752.0        |26           |60.0         |25.0         |55.0        
|16           |842.0        |26           |50.0         |25.0         |55.0        
|16           |845.0        |23           |50.0         |28.0         |55.0        
|16           |935.0        |23           |40.0         |28.0         |55.0        
|16           |951.0        |22           |40.0         |28.0         |52.0        
|16           |1041.0       |22           |20.0         |28.0         |52.0        
|16           |1043.0       |21           |20.0         |30.0         |52.0        
|16           |1133.0       |21           |0.0          |30.0         |52.0        
|16           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|17           |0.0          |0            |200.0        |40.0         |50.0        
|17           |31.623       |32           |200.0        |10.0         |40.0        
|17           |121.623      |32           |170.0        |10.0         |40.0        
|17           |123.623      |33           |170.0        |8.0          |40.0        
|17           |213.623      |33           |130.0        |8.0          |40.0        
|17           |219.008      |31           |130.0        |10.0         |35.0        
|17           |309.008      |31           |110.0        |10.0         |35.0        
|17           |314.008      |35           |110.0        |5.0          |35.0        
|17           |404.008      |35           |100.0        |5.0          |35.0        
|17           |409.839      |37           |100.0        |2.0          |40.0        
|17           |499.839      |37           |80.0         |2.0          |40.0        
|17           |587.0        |38           |80.0         |0.0          |40.0        
|17           |677.0        |38           |50.0         |0.0          |40.0        
|17           |698.0        |39           |50.0         |0.0          |45.0        
|17           |788.0        |39           |30.0         |0.0          |45.0        
|17           |793.0        |36           |30.0         |5.0          |45.0        
|17           |883.0        |36           |20.0         |5.0          |45.0        
|17           |912.0        |34           |20.0         |8.0          |45.0        
|17           |1002.0       |34           |0.0          |8.0          |45.0        
|17           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|20           |0.0          |0            |190.0        |40.0         |50.0        
|20           |30.806       |13           |190.0        |22.0         |75.0        
|20           |120.806      |13           |160.0        |22.0         |75.0        
|20           |124.806      |17           |160.0        |18.0         |75.0        
|20           |214.806      |17           |140.0        |18.0         |75.0        
|20           |217.806      |18           |140.0        |15.0         |75.0        
|20           |307.806      |18           |120.0        |15.0         |75.0        
|20           |312.806      |19           |120.0        |15.0         |80.0        
|20           |402.806      |19           |110.0        |15.0         |80.0        
|20           |495.0        |15           |110.0        |20.0         |80.0        
|20           |585.0        |15           |70.0         |20.0         |80.0        
|20           |606.0        |16           |70.0         |20.0         |85.0        
|20           |696.0        |16           |30.0         |20.0         |85.0        
|20           |698.0        |14           |30.0         |22.0         |85.0        
|20           |788.0        |14           |20.0         |22.0         |85.0        
|20           |826.0        |12           |20.0         |25.0         |85.0        
|20           |916.0        |12           |0.0          |25.0         |85.0        
|20           |1236.0       |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
