C202_050
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 700.0
cost per distance: 1
time per distance: 1
====================================================================================
feasibile: True
solver runtime: 3600.0708730220795
objective function value: 361.79650596844436
MIP gap: 0.08734363753077073
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|3            |0.0          |0            |90.0         |40.0         |50.0        
|3            |15.133       |5            |90.0         |42.0         |65.0        
|3            |105.133      |5            |80.0         |42.0         |65.0        
|3            |110.964      |2            |80.0         |45.0         |70.0        
|3            |200.964      |2            |50.0         |45.0         |70.0        
|3            |209.566      |1            |50.0         |52.0         |75.0        
|3            |299.566      |1            |40.0         |52.0         |75.0        
|3            |1233.271     |7            |40.0         |58.0         |70.0        
|3            |1323.271     |7            |20.0         |58.0         |70.0        
|3            |1327.394     |3            |20.0         |62.0         |69.0        
|3            |1417.394     |3            |10.0         |62.0         |69.0        
|3            |1421.0       |4            |10.0         |60.0         |66.0        
|3            |1511.0       |4            |0.0          |60.0         |66.0        
|3            |3389.907     |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|5            |0.0          |0            |140.0        |40.0         |50.0        
|5            |1127.0       |49           |140.0        |48.0         |20.0        
|5            |1217.0       |49           |130.0        |48.0         |20.0        
|5            |1978.528     |40           |130.0        |36.0         |18.0        
|5            |2068.528     |40           |120.0        |36.0         |18.0        
|5            |2073.0       |44           |120.0        |32.0         |20.0        
|5            |2163.0       |44           |110.0        |32.0         |20.0        
|5            |2168.597     |46           |110.0        |34.0         |25.0        
|5            |2258.597     |46           |80.0         |34.0         |25.0        
|5            |2265.0       |45           |80.0         |30.0         |30.0        
|5            |2355.0       |45           |70.0         |30.0         |30.0        
|5            |2385.0       |50           |70.0         |26.0         |32.0        
|5            |2475.0       |50           |60.0         |26.0         |32.0        
|5            |2640.0       |47           |60.0         |30.0         |35.0        
|5            |2730.0       |47           |50.0         |30.0         |35.0        
|5            |2733.0       |43           |50.0         |33.0         |35.0        
|5            |2823.0       |43           |40.0         |33.0         |35.0        
|5            |2826.0       |42           |40.0         |33.0         |32.0        
|5            |2916.0       |42           |20.0         |33.0         |32.0        
|5            |2918.0       |41           |20.0         |35.0         |32.0        
|5            |3008.0       |41           |10.0         |35.0         |32.0        
|5            |3016.062     |48           |10.0         |36.0         |40.0        
|5            |3106.062     |48           |0.0          |36.0         |40.0        
|5            |3389.907     |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|16           |0.0          |0            |630.0        |40.0         |50.0        
|16           |10.0         |20           |630.0        |30.0         |50.0        
|16           |100.0        |20           |620.0        |30.0         |50.0        
|16           |102.828      |22           |620.0        |28.0         |52.0        
|16           |192.828      |22           |600.0        |28.0         |52.0        
|16           |196.434      |24           |600.0        |25.0         |50.0        
|16           |286.434      |24           |590.0        |25.0         |50.0        
|16           |289.262      |27           |590.0        |23.0         |52.0        
|16           |379.262      |27           |580.0        |23.0         |52.0        
|16           |383.505      |30           |580.0        |20.0         |55.0        
|16           |473.505      |30           |570.0        |20.0         |55.0        
|16           |478.505      |29           |570.0        |20.0         |50.0        
|16           |568.505      |29           |560.0        |20.0         |50.0        
|16           |577.449      |6            |560.0        |16.0         |42.0        
|16           |667.449      |6            |540.0        |16.0         |42.0        
|16           |673.774      |32           |540.0        |10.0         |40.0        
|16           |763.774      |32           |510.0        |10.0         |40.0        
|16           |765.774      |33           |510.0        |8.0          |40.0        
|16           |855.774      |33           |470.0        |8.0          |40.0        
|16           |861.159      |31           |470.0        |10.0         |35.0        
|16           |951.159      |31           |450.0        |10.0         |35.0        
|16           |956.159      |35           |450.0        |5.0          |35.0        
|16           |1046.159     |35           |440.0        |5.0          |35.0        
|16           |1051.99      |37           |440.0        |2.0          |40.0        
|16           |1141.99      |37           |420.0        |2.0          |40.0        
|16           |1143.99      |38           |420.0        |0.0          |40.0        
|16           |1233.99      |38           |390.0        |0.0          |40.0        
|16           |1238.99      |39           |390.0        |0.0          |45.0        
|16           |1328.99      |39           |370.0        |0.0          |45.0        
|16           |1333.99      |36           |370.0        |5.0          |45.0        
|16           |1423.99      |36           |360.0        |5.0          |45.0        
|16           |1426.99      |34           |360.0        |8.0          |45.0        
|16           |1516.99      |34           |340.0        |8.0          |45.0        
|16           |1527.76      |28           |340.0        |4.0          |55.0        
|16           |1617.76      |28           |320.0        |4.0          |55.0        
|16           |1625.823     |26           |320.0        |8.0          |62.0        
|16           |1715.823     |26           |310.0        |8.0          |62.0        
|16           |1723.034     |23           |310.0        |14.0         |66.0        
|16           |1813.034     |23           |300.0        |14.0         |66.0        
|16           |1822.089     |18           |300.0        |15.0         |75.0        
|16           |1912.089     |18           |280.0        |15.0         |75.0        
|16           |1917.089     |19           |280.0        |15.0         |80.0        
|16           |2007.089     |19           |270.0        |15.0         |80.0        
|16           |2014.16      |16           |270.0        |20.0         |85.0        
|16           |2104.16      |16           |230.0        |20.0         |85.0        
|16           |2106.16      |14           |230.0        |22.0         |85.0        
|16           |2196.16      |14           |220.0        |22.0         |85.0        
|16           |2199.16      |12           |220.0        |25.0         |85.0        
|16           |2289.16      |12           |200.0        |25.0         |85.0        
|16           |2296.231     |15           |200.0        |20.0         |80.0        
|16           |2386.231     |15           |160.0        |20.0         |80.0        
|16           |2470.626     |17           |160.0        |18.0         |75.0        
|16           |2560.626     |17           |140.0        |18.0         |75.0        
|16           |2564.626     |13           |140.0        |22.0         |75.0        
|16           |2654.626     |13           |110.0        |22.0         |75.0        
|16           |2663.626     |25           |110.0        |22.0         |66.0        
|16           |2753.626     |25           |70.0         |22.0         |66.0        
|16           |2760.837     |9            |70.0         |28.0         |70.0        
|16           |2850.837     |9            |60.0         |28.0         |70.0        
|16           |2857.909     |11           |60.0         |35.0         |69.0        
|16           |2947.909     |11           |50.0         |35.0         |69.0        
|16           |2950.909     |10           |50.0         |35.0         |66.0        
|16           |3040.909     |10           |40.0         |35.0         |66.0        
|16           |3047.0       |8            |40.0         |34.0         |60.0        
|16           |3137.0       |8            |20.0         |34.0         |60.0        
|16           |3288.0       |21           |20.0         |30.0         |56.0        
|16           |3378.0       |21           |0.0          |30.0         |56.0        
|16           |3389.907     |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
