R104_025
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1
time per distance: 1
====================================================================================
feasible: True
solver runtime: 3600.0230000019073
objective function value: 417.9612285190715
MIP gap: 0.11713855986628478
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|1            |0.0          |0            |83.0         |35.0         |35.0        
|1            |18.028       |21           |83.0         |45.0         |20.0        
|1            |28.028       |21           |72.0         |45.0         |20.0        
|1            |56.82        |22           |72.0         |45.0         |10.0        
|1            |66.82        |22           |54.0         |45.0         |10.0        
|1            |78.0         |23           |54.0         |55.0         |5.0         
|1            |88.0         |23           |25.0         |55.0         |5.0         
|1            |149.0        |4            |25.0         |55.0         |20.0        
|1            |159.0        |4            |6.0          |55.0         |20.0        
|1            |182.0        |25           |6.0          |65.0         |20.0        
|1            |192.0        |25           |0.0          |65.0         |20.0        
|1            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|3            |0.0          |0            |86.0         |35.0         |35.0        
|3            |15.232       |1            |86.0         |41.0         |49.0        
|3            |25.232       |1            |76.0         |41.0         |49.0        
|3            |40.788       |10           |76.0         |30.0         |60.0        
|3            |50.788       |10           |60.0         |30.0         |60.0        
|3            |66.599       |20           |60.0         |45.0         |65.0        
|3            |76.599       |20           |51.0         |45.0         |65.0        
|3            |97.0         |9            |51.0         |55.0         |60.0        
|3            |107.0        |9            |35.0         |55.0         |60.0        
|3            |122.0        |3            |35.0         |55.0         |45.0        
|3            |132.0        |3            |22.0         |55.0         |45.0        
|3            |146.142      |24           |22.0         |65.0         |35.0        
|3            |156.142      |24           |19.0         |65.0         |35.0        
|3            |171.142      |12           |19.0         |50.0         |35.0        
|3            |181.142      |12           |0.0          |50.0         |35.0        
|3            |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|12           |0.0          |0            |81.0         |35.0         |35.0        
|12           |21.213       |7            |81.0         |20.0         |50.0        
|12           |31.213       |7            |76.0         |20.0         |50.0        
|12           |42.394       |19           |76.0         |15.0         |60.0        
|12           |52.394       |19           |59.0         |15.0         |60.0        
|12           |67.0         |11           |59.0         |20.0         |65.0        
|12           |77.0         |11           |47.0         |20.0         |65.0        
|12           |101.166      |8            |47.0         |10.0         |43.0        
|12           |111.166      |8            |38.0         |10.0         |43.0        
|12           |121.606      |18           |38.0         |20.0         |40.0        
|12           |131.606      |18           |26.0         |20.0         |40.0        
|12           |151.929      |6            |26.0         |25.0         |30.0        
|12           |161.929      |6            |23.0         |25.0         |30.0        
|12           |169.0        |13           |23.0         |30.0         |25.0        
|12           |179.0        |13           |0.0          |30.0         |25.0        
|12           |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|14           |0.0          |0            |82.0         |35.0         |35.0        
|14           |18.0         |2            |82.0         |35.0         |17.0        
|14           |28.0         |2            |75.0         |35.0         |17.0        
|14           |61.0         |15           |75.0         |30.0         |5.0         
|14           |71.0         |15           |67.0         |30.0         |5.0         
|14           |86.811       |14           |67.0         |15.0         |10.0        
|14           |96.811       |14           |47.0         |15.0         |10.0        
|14           |107.992      |16           |47.0         |10.0         |20.0        
|14           |117.992      |16           |28.0         |10.0         |20.0        
|14           |129.172      |17           |28.0         |5.0          |30.0        
|14           |139.172      |17           |26.0         |5.0          |30.0        
|14           |149.172      |5            |26.0         |15.0         |30.0        
|14           |159.172      |5            |0.0          |15.0         |30.0        
|14           |230.0        |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
