R209_050
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 1000.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 3600.0506620407104
objective function value: 619.4254009426807
MIP gap: 0.1402973412939587
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|2            |0.0          |0            |76.0         |35.0         |35.0        
|2            |349.0        |18           |76.0         |20.0         |40.0        
|2            |359.0        |18           |64.0         |20.0         |40.0        
|2            |409.0        |17           |64.0         |5.0          |30.0        
|2            |419.0        |17           |62.0         |5.0          |30.0        
|2            |427.062      |45           |62.0         |6.0          |38.0        
|2            |437.062      |45           |46.0         |6.0          |38.0        
|2            |443.465      |8            |46.0         |10.0         |43.0        
|2            |453.465      |8            |37.0         |10.0         |43.0        
|2            |462.899      |46           |37.0         |2.0          |48.0        
|2            |472.899      |46           |36.0         |2.0          |48.0        
|2            |962.0        |48           |36.0         |13.0         |52.0        
|2            |972.0        |48           |0.0          |13.0         |52.0        
|2            |1000.0       |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|7            |0.0          |0            |218.0        |35.0         |35.0        
|7            |218.163      |27           |218.0        |35.0         |40.0        
|7            |228.163      |27           |202.0        |35.0         |40.0        
|7            |248.778      |30           |202.0        |40.0         |60.0        
|7            |258.778      |30           |181.0        |40.0         |60.0        
|7            |270.82       |31           |181.0        |31.0         |52.0        
|7            |280.82       |31           |154.0        |31.0         |52.0        
|7            |292.0        |7            |154.0        |20.0         |50.0        
|7            |302.0        |7            |149.0        |20.0         |50.0        
|7            |313.18       |19           |149.0        |15.0         |60.0        
|7            |323.18       |19           |132.0        |15.0         |60.0        
|7            |362.0        |47           |132.0        |8.0          |56.0        
|7            |372.0        |47           |105.0        |8.0          |56.0        
|7            |379.211      |36           |105.0        |2.0          |60.0        
|7            |389.211      |36           |100.0        |2.0          |60.0        
|7            |485.682      |49           |100.0        |6.0          |68.0        
|7            |495.682      |49           |70.0         |6.0          |68.0        
|7            |510.0        |11           |70.0         |20.0         |65.0        
|7            |520.0        |11           |58.0         |20.0         |65.0        
|7            |581.704      |10           |58.0         |30.0         |60.0        
|7            |591.704      |10           |42.0         |30.0         |60.0        
|7            |602.0        |32           |42.0         |35.0         |69.0        
|7            |612.0        |32           |19.0         |35.0         |69.0        
|7            |622.77       |20           |19.0         |45.0         |65.0        
|7            |632.77       |20           |10.0         |45.0         |65.0        
|7            |919.0        |1            |10.0         |41.0         |49.0        
|7            |929.0        |1            |0.0          |41.0         |49.0        
|7            |1000.0       |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|16           |0.0          |0            |153.0        |35.0         |35.0        
|16           |266.0        |6            |153.0        |25.0         |30.0        
|16           |276.0        |6            |150.0        |25.0         |30.0        
|16           |370.0        |5            |150.0        |15.0         |30.0        
|16           |380.0        |5            |124.0        |15.0         |30.0        
|16           |395.92       |16           |124.0        |10.0         |20.0        
|16           |405.92       |16           |105.0        |10.0         |20.0        
|16           |412.003      |44           |105.0        |11.0         |14.0        
|16           |422.003      |44           |87.0         |11.0         |14.0        
|16           |432.82       |38           |87.0         |5.0          |5.0         
|16           |442.82       |38           |71.0         |5.0          |5.0         
|16           |454.0        |14           |71.0         |15.0         |10.0        
|16           |464.0        |14           |51.0         |15.0         |10.0        
|16           |529.0        |15           |51.0         |30.0         |5.0         
|16           |539.0        |15           |43.0         |30.0         |5.0         
|16           |578.0        |43           |43.0         |23.0         |3.0         
|16           |588.0        |43           |36.0         |23.0         |3.0         
|16           |597.055      |42           |36.0         |24.0         |12.0        
|16           |607.055      |42           |31.0         |24.0         |12.0        
|16           |616.0        |37           |31.0         |20.0         |20.0        
|16           |626.0        |37           |23.0         |20.0         |20.0        
|16           |637.18       |13           |23.0         |30.0         |25.0        
|16           |647.18       |13           |0.0          |30.0         |25.0        
|16           |1000.0       |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|23           |0.0          |0            |155.0        |35.0         |35.0        
|23           |243.0        |40           |155.0        |40.0         |25.0        
|23           |253.0        |40           |146.0        |40.0         |25.0        
|23           |260.071      |21           |146.0        |45.0         |20.0        
|23           |270.071      |21           |135.0        |45.0         |20.0        
|23           |280.511      |2            |135.0        |35.0         |17.0        
|23           |290.511      |2            |128.0        |35.0         |17.0        
|23           |302.718      |41           |128.0        |42.0         |7.0         
|23           |312.718      |41           |123.0        |42.0         |7.0         
|23           |316.961      |22           |123.0        |45.0         |10.0        
|23           |326.961      |22           |105.0        |45.0         |10.0        
|23           |513.0        |23           |105.0        |55.0         |5.0         
|23           |523.0        |23           |76.0         |55.0         |5.0         
|23           |531.602      |39           |76.0         |60.0         |12.0        
|23           |541.602      |39           |45.0         |60.0         |12.0        
|23           |631.384      |4            |45.0         |55.0         |20.0        
|23           |641.384      |4            |26.0         |55.0         |20.0        
|23           |651.384      |25           |26.0         |65.0         |20.0        
|23           |661.384      |25           |20.0         |65.0         |20.0        
|23           |676.384      |24           |20.0         |65.0         |35.0        
|23           |686.384      |24           |17.0         |65.0         |35.0        
|23           |707.0        |26           |17.0         |45.0         |30.0        
|23           |717.0        |26           |0.0          |45.0         |30.0        
|23           |1000.0       |0            |0.0          |35.0         |35.0        
------------------------------------------------------------------------------------
|24           |0.0          |0            |119.0        |35.0         |35.0        
|24           |150.78       |28           |119.0        |41.0         |37.0        
|24           |160.78       |28           |103.0        |41.0         |37.0        
|24           |170.0        |12           |103.0        |50.0         |35.0        
|24           |180.0        |12           |84.0         |50.0         |35.0        
