RC105_025
====================================================================================
customer quantity: 25
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1
time per distance: 1
====================================================================================
feasible: True
solver runtime: 1391.8414959907532
objective function value: 412.3765878946543
MIP gap: 4.2792705721085314e-07
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|0            |0.0          |0            |100.0        |40.0         |50.0        
|0            |32.388       |12           |100.0        |8.0          |45.0        
|0            |42.388       |12           |80.0         |8.0          |45.0        
|0            |45.388       |14           |80.0         |5.0          |45.0        
|0            |55.388       |14           |70.0         |5.0          |45.0        
|0            |66.0         |16           |70.0         |0.0          |40.0        
|0            |76.0         |16           |50.0         |0.0          |40.0        
|0            |78.0         |15           |50.0         |2.0          |40.0        
|0            |88.0         |15           |30.0         |2.0          |40.0        
|0            |152.0        |13           |30.0         |5.0          |35.0        
|0            |162.0        |13           |20.0         |5.0          |35.0        
|0            |173.18       |17           |20.0         |0.0          |45.0        
|0            |183.18       |17           |0.0          |0.0          |45.0        
|0            |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|2            |0.0          |0            |170.0        |40.0         |50.0        
|2            |30.806       |2            |170.0        |22.0         |75.0        
|2            |40.806       |2            |140.0        |22.0         |75.0        
|2            |51.004       |5            |140.0        |20.0         |85.0        
|2            |61.004       |5            |120.0        |20.0         |85.0        
|2            |64.0         |3            |120.0        |22.0         |85.0        
|2            |74.0         |3            |110.0        |22.0         |85.0        
|2            |77.0         |1            |110.0        |25.0         |85.0        
|2            |87.0         |1            |90.0         |25.0         |85.0        
|2            |107.169      |8            |90.0         |15.0         |80.0        
|2            |117.169      |8            |80.0         |15.0         |80.0        
|2            |123.0        |6            |80.0         |18.0         |75.0        
|2            |133.0        |6            |60.0         |18.0         |75.0        
|2            |143.929      |7            |60.0         |15.0         |75.0        
|2            |153.929      |7            |40.0         |15.0         |75.0        
|2            |161.0        |4            |40.0         |20.0         |80.0        
|2            |171.0        |4            |0.0          |20.0         |80.0        
|2            |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|16           |0.0          |0            |180.0        |40.0         |50.0        
|16           |58.0         |19           |180.0        |42.0         |10.0        
|16           |68.0         |19           |140.0        |42.0         |10.0        
|16           |75.0         |23           |140.0        |38.0         |5.0         
|16           |85.0         |23           |110.0        |38.0         |5.0         
|16           |91.0         |18           |110.0        |44.0         |5.0         
|16           |101.0        |18           |90.0         |44.0         |5.0         
|16           |111.77       |22           |90.0         |40.0         |15.0        
|16           |121.77       |22           |50.0         |40.0         |15.0        
|16           |123.77       |20           |50.0         |42.0         |15.0        
|16           |133.77       |20           |40.0         |42.0         |15.0        
|16           |158.56       |21           |40.0         |40.0         |5.0         
|16           |168.56       |21           |30.0         |40.0         |5.0         
|16           |173.56       |25           |30.0         |35.0         |5.0         
|16           |183.56       |25           |10.0         |35.0         |5.0         
|16           |194.0        |24           |10.0         |38.0         |15.0        
|16           |204.0        |24           |0.0          |38.0         |15.0        
|16           |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|22           |0.0          |0            |90.0         |40.0         |50.0        
|22           |69.0         |11           |90.0         |8.0          |40.0        
|22           |79.0         |11           |50.0         |8.0          |40.0        
|22           |101.0        |9            |50.0         |10.0         |35.0        
|22           |111.0        |9            |30.0         |10.0         |35.0        
|22           |123.0        |10           |30.0         |10.0         |40.0        
|22           |133.0        |10           |0.0          |10.0         |40.0        
|22           |240.0        |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
