RC105_050
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 200.0
cost per distance: 1
time per distance: 1
====================================================================================
feasible: True
solver runtime: 3600.0351510047913
objective function value: 856.9906712822423
MIP gap: 0.4053775833579376
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|0            |0.0          |0            |110.0        |40.0         |50.0        
|0            |32.388       |12           |110.0        |8.0          |45.0        
|0            |42.388       |12           |90.0         |8.0          |45.0        
|0            |45.388       |14           |90.0         |5.0          |45.0        
|0            |55.388       |14           |80.0         |5.0          |45.0        
|0            |58.388       |47           |80.0         |2.0          |45.0        
|0            |68.388       |47           |70.0         |2.0          |45.0        
|0            |73.388       |15           |70.0         |2.0          |40.0        
|0            |83.388       |15           |50.0         |2.0          |40.0        
|0            |85.388       |16           |50.0         |0.0          |40.0        
|0            |95.388       |16           |30.0         |0.0          |40.0        
|0            |158.82       |13           |30.0         |5.0          |35.0        
|0            |168.82       |13           |20.0         |5.0          |35.0        
|0            |180.0        |17           |20.0         |0.0          |45.0        
|0            |190.0        |17           |0.0          |0.0          |45.0        
|0            |239.608      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|2            |0.0          |0            |90.0         |40.0         |50.0        
|2            |66.0         |42           |90.0         |55.0         |80.0        
|2            |76.0         |42           |80.0         |55.0         |80.0        
|2            |84.0         |44           |80.0         |55.0         |82.0        
|2            |94.0         |44           |70.0         |55.0         |82.0        
|2            |112.0        |40           |70.0         |60.0         |85.0        
|2            |122.0        |40           |40.0         |60.0         |85.0        
|2            |138.0        |35           |40.0         |67.0         |85.0        
|2            |148.0        |35           |20.0         |67.0         |85.0        
|2            |160.0        |43           |20.0         |55.0         |85.0        
|2            |170.0        |43           |0.0          |55.0         |85.0        
|2            |239.608      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|4            |0.0          |0            |90.0         |40.0         |50.0        
|4            |69.0         |11           |90.0         |8.0          |40.0        
|4            |79.0         |11           |50.0         |8.0          |40.0        
|4            |101.0        |9            |50.0         |10.0         |35.0        
|4            |111.0        |9            |30.0         |10.0         |35.0        
|4            |144.0        |10           |30.0         |10.0         |40.0        
|4            |154.0        |10           |0.0          |10.0         |40.0        
|4            |239.608      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|5            |0.0          |0            |170.0        |40.0         |50.0        
|5            |52.202       |29           |170.0        |90.0         |35.0        
|5            |62.202       |29           |160.0        |90.0         |35.0        
|5            |70.0         |27           |160.0        |95.0         |35.0        
|5            |80.0         |27           |140.0        |95.0         |35.0        
|5            |85.0         |26           |140.0        |95.0         |30.0        
|5            |95.0         |26           |110.0        |95.0         |30.0        
|5            |102.0        |30           |110.0        |88.0         |30.0        
|5            |112.0        |30           |100.0        |88.0         |30.0        
|5            |116.0        |28           |100.0        |92.0         |30.0        
|5            |126.0        |28           |90.0         |92.0         |30.0        
|5            |131.0        |32           |90.0         |87.0         |30.0        
|5            |141.0        |32           |80.0         |87.0         |30.0        
|5            |146.099      |31           |80.0         |88.0         |35.0        
|5            |156.099      |31           |60.0         |88.0         |35.0        
|5            |168.0        |34           |60.0         |85.0         |35.0        
|5            |178.0        |34           |30.0         |85.0         |35.0        
|5            |191.0        |50           |30.0         |72.0         |35.0        
|5            |201.0        |50           |0.0          |72.0         |35.0        
|5            |239.608      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|7            |0.0          |0            |190.0        |40.0         |50.0        
|7            |30.806       |2            |190.0        |22.0         |75.0        
|7            |40.806       |2            |160.0        |22.0         |75.0        
|7            |48.086       |45           |160.0        |20.0         |82.0        
|7            |58.086       |45           |150.0        |20.0         |82.0        
|7            |83.929       |5            |150.0        |20.0         |85.0        
|7            |93.929       |5            |130.0        |20.0         |85.0        
|7            |101.0        |8            |130.0        |15.0         |80.0        
|7            |111.0        |8            |120.0        |15.0         |80.0        
|7            |116.831      |6            |120.0        |18.0         |75.0        
|7            |126.831      |6            |100.0        |18.0         |75.0        
|7            |129.831      |7            |100.0        |15.0         |75.0        
|7            |139.831      |7            |80.0         |15.0         |75.0        
|7            |149.0        |46           |80.0         |18.0         |80.0        
|7            |159.0        |46           |70.0         |18.0         |80.0        
|7            |161.0        |4            |70.0         |20.0         |80.0        
|7            |171.0        |4            |30.0         |20.0         |80.0        
|7            |178.0        |3            |30.0         |22.0         |85.0        
|7            |188.0        |3            |20.0         |22.0         |85.0        
|7            |191.0        |1            |20.0         |25.0         |85.0        
|7            |201.0        |1            |0.0          |25.0         |85.0        
|7            |239.608      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|8            |0.0          |0            |140.0        |40.0         |50.0        
|8            |58.0         |19           |140.0        |42.0         |10.0        
|8            |68.0         |19           |100.0        |42.0         |10.0        
|8            |75.0         |23           |100.0        |38.0         |5.0         
|8            |85.0         |23           |70.0         |38.0         |5.0         
|8            |91.0         |18           |70.0         |44.0         |5.0         
|8            |101.0        |18           |50.0         |44.0         |5.0         
|8            |103.0        |48           |50.0         |42.0         |5.0         
|8            |113.0        |48           |40.0         |42.0         |5.0         
|8            |158.56       |21           |40.0         |40.0         |5.0         
|8            |168.56       |21           |30.0         |40.0         |5.0         
|8            |173.56       |25           |30.0         |35.0         |5.0         
|8            |183.56       |25           |10.0         |35.0         |5.0         
|8            |194.0        |24           |10.0         |38.0         |15.0        
|8            |204.0        |24           |0.0          |38.0         |15.0        
|8            |239.608      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|13           |0.0          |0            |70.0         |40.0         |50.0        
|13           |51.478       |33           |70.0         |85.0         |25.0        
|13           |61.478       |33           |60.0         |85.0         |25.0        
|13           |114.394      |22           |60.0         |40.0         |15.0        
|13           |124.394      |22           |20.0         |40.0         |15.0        
|13           |128.0        |49           |20.0         |42.0         |12.0        
|13           |138.0        |49           |10.0         |42.0         |12.0        
|13           |141.0        |20           |10.0         |42.0         |15.0        
|13           |151.0        |20           |0.0          |42.0         |15.0        
|13           |239.608      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|20           |0.0          |0            |110.0        |40.0         |50.0        
|20           |36.056       |39           |110.0        |60.0         |80.0        
|20           |46.056       |39           |100.0        |60.0         |80.0        
|20           |53.127       |36           |100.0        |65.0         |85.0        
|20           |63.127       |36           |60.0         |65.0         |85.0        
|20           |71.394       |37           |60.0         |65.0         |82.0        
|20           |81.394       |37           |50.0         |65.0         |82.0        
|20           |85.0         |38           |50.0         |62.0         |80.0        
|20           |95.0         |38           |20.0         |62.0         |80.0        
|20           |101.403      |41           |20.0         |58.0         |75.0        
|20           |111.403      |41           |0.0          |58.0         |75.0        
|20           |239.608      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
