RC207_050
====================================================================================
customer quantity: 50
vehicle quantity: 25
vehicle capacity: 1000.0
cost per distance: 1.0
time per distance: 1.0
====================================================================================
feasible: True
solver runtime: 3600.0451760292053
objective function value: 563.7375156836292
MIP gap: 0.5520076125984651
====================================================================================
|vehicle no.  |time         |node no.     |cargo        |X            |Y           
------------------------------------------------------------------------------------
|4            |0.0          |0            |190.0        |40.0         |50.0        
|4            |254.0        |2            |190.0        |22.0         |75.0        
|4            |264.0        |2            |160.0        |22.0         |75.0        
|4            |268.0        |6            |160.0        |18.0         |75.0        
|4            |278.0        |6            |140.0        |18.0         |75.0        
|4            |281.0        |7            |140.0        |15.0         |75.0        
|4            |291.0        |7            |120.0        |15.0         |75.0        
|4            |296.0        |8            |120.0        |15.0         |80.0        
|4            |306.0        |8            |110.0        |15.0         |80.0        
|4            |313.071      |5            |110.0        |20.0         |85.0        
|4            |323.071      |5            |90.0         |20.0         |85.0        
|4            |473.0        |3            |90.0         |22.0         |85.0        
|4            |483.0        |3            |80.0         |22.0         |85.0        
|4            |591.0        |1            |80.0         |25.0         |85.0        
|4            |601.0        |1            |60.0         |25.0         |85.0        
|4            |606.831      |45           |60.0         |20.0         |82.0        
|4            |616.831      |45           |50.0         |20.0         |82.0        
|4            |619.659      |46           |50.0         |18.0         |80.0        
|4            |629.659      |46           |40.0         |18.0         |80.0        
|4            |631.659      |4            |40.0         |20.0         |80.0        
|4            |641.659      |4            |0.0          |20.0         |80.0        
|4            |959.311      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|11           |0.0          |0            |200.0        |40.0         |50.0        
|11           |166.0        |12           |200.0        |8.0          |45.0        
|11           |176.0        |12           |180.0        |8.0          |45.0        
|11           |179.0        |14           |180.0        |5.0          |45.0        
|11           |189.0        |14           |170.0        |5.0          |45.0        
|11           |192.0        |47           |170.0        |2.0          |45.0        
|11           |202.0        |47           |160.0        |2.0          |45.0        
|11           |359.0        |17           |160.0        |0.0          |45.0        
|11           |369.0        |17           |140.0        |0.0          |45.0        
|11           |374.0        |16           |140.0        |0.0          |40.0        
|11           |384.0        |16           |120.0        |0.0          |40.0        
|11           |386.0        |15           |120.0        |2.0          |40.0        
|11           |396.0        |15           |100.0        |2.0          |40.0        
|11           |401.831      |13           |100.0        |5.0          |35.0        
|11           |411.831      |13           |90.0         |5.0          |35.0        
|11           |494.615      |9            |90.0         |10.0         |35.0        
|11           |504.615      |9            |70.0         |10.0         |35.0        
|11           |510.0        |11           |70.0         |8.0          |40.0        
|11           |520.0        |11           |30.0         |8.0          |40.0        
|11           |687.0        |10           |30.0         |10.0         |40.0        
|11           |697.0        |10           |0.0          |10.0         |40.0        
|11           |959.311      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|14           |0.0          |0            |200.0        |40.0         |50.0        
|14           |326.82       |22           |200.0        |40.0         |15.0        
|14           |336.82       |22           |160.0        |40.0         |15.0        
|14           |348.0        |25           |160.0        |35.0         |5.0         
|14           |358.0        |25           |140.0        |35.0         |5.0         
|14           |361.0        |23           |140.0        |38.0         |5.0         
|14           |371.0        |23           |110.0        |38.0         |5.0         
|14           |391.0        |21           |110.0        |40.0         |5.0         
|14           |401.0        |21           |100.0        |40.0         |5.0         
|14           |411.0        |19           |100.0        |42.0         |10.0        
|14           |421.0        |19           |60.0         |42.0         |10.0        
|14           |423.0        |49           |60.0         |42.0         |12.0        
|14           |433.0        |49           |50.0         |42.0         |12.0        
|14           |451.0        |18           |50.0         |44.0         |5.0         
|14           |461.0        |18           |30.0         |44.0         |5.0         
|14           |636.0        |48           |30.0         |42.0         |5.0         
|14           |646.0        |48           |20.0         |42.0         |5.0         
|14           |656.0        |20           |20.0         |42.0         |15.0        
|14           |666.0        |20           |10.0         |42.0         |15.0        
|14           |749.63       |24           |10.0         |38.0         |15.0        
|14           |759.63       |24           |0.0          |38.0         |15.0        
|14           |959.311      |0            |0.0          |40.0         |50.0        
------------------------------------------------------------------------------------
|18           |0.0          |0            |200.0        |40.0         |50.0        
|18           |207.0        |41           |200.0        |58.0         |75.0        
|18           |217.0        |41           |180.0        |58.0         |75.0        
|18           |222.831      |42           |180.0        |55.0         |80.0        
|18           |232.831      |42           |170.0        |55.0         |80.0        
|18           |234.831      |44           |170.0        |55.0         |82.0        
|18           |244.831      |44           |160.0        |55.0         |82.0        
